Plot,n,zmax,zmin,zmean,zsd,zcv,zskew,zkurt,zq1,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zq99,pzabovemean,pzabove2,pzabove5,ziqr,zMADmean,zMADmedian,CRR,zentropy,VCI,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,L1,L2,L3,L4,Lskew,Lkurt,Lcoefvar,lad_max,lad_mean,lad_cv,lad_min,pz_below_0,pz_0.0.15,pz_0.15.2,pz_2.5,pz_5.10,pz_10.20,pz_20.30,pz_above_30,rumple,vn,vFRall,vFRcanopy,vzrumple,vzsd,vzcv,OpenGapSpace,ClosedGapSpace,Euphotic,Oligophotic,kde_peaks_count,kde_peak1_elev,kde_peak2_elev,kde_peak3_elev,kde_peak4_elev,kde_peak1_value,kde_peak2_value,kde_peak3_value,kde_peak4_value,kde_peak1_diff,kde_peak2_diff,kde_peak3_diff,pfirst,pintermidiate,plast,psingle,pmultiple,HOME,eigen_largest,eigen_medium,eigen_smallest,curvature,linearity,planarity,sphericity,anisotropy,horizontality,Z,npoints,convhull_area,FOD Region,Reporting Name,Company,KeyID,Area,Species,Plant Date,Assessment Date,Inventory Type,No Plots,Plot Date,Abandoned,Zone,Plot Complete,X Coord,Y Coord,Process Date,Age,TPHA,TPHA Planted,SPHA,MTH (m),MH (m),MH Planted (m),Dq (cm),Dq Planted (cm),MDD (cm),MinD (cm),MaxD (cm),VarD,BA (m2/ha),TSV (m3 sub),TRV (m3 sub),MAI (m3 sub/ha/a)
A020T27A,27440,19.337,-0.153,10.0861547011662,5.98127756352833,59.3018622135229,-0.6005497043169499,1.9536472950931103,0.037000000000000005,0.201,0.3449,0.5,0.765,6.37775,7.812,9.01865,10.174,11.100999999999999,12.019,12.65145,13.319,13.905,14.380999999999998,14.921,15.4402,15.98715,16.627,17.26805,18.34144,60.4300291545189,77.55830903790091,76.6144314868805,8.54325,5.10089050621446,3.659,0.525354268915658,0.8530768502717091,0.853021707989924,22.377724323930302,22.880676434142398,24.0760988410234,29.225891099934397,37.3095706684161,47.0223777243239,61.3747357679131,79.9584517821999,95.6593046140389,10.0861547011662,3.3178498470752595,-0.5555552411457221,-0.0212030573108706,-0.16744435907352898,-0.00639060183195495,0.328950917904485,0.28707569379567893,0.16602775037282,0.640994269224302,0.0017500365707534599,0.7215743440233241,2.8534985422740493,18.8666180758017,0.9438775510204079,15.772594752186599,60.8418367346939,0.0,0.0,2.12025685010703,2448,33.9058171745152,52.4084778420039,2.36612404712306,0.23951644393839802,89.12374449255199,11.7590027700831,30.7894736842105,18.088642659279802,39.3628808864266,2,14.3062563600783,0.440796477495108,,,0.0794895811718962,0.0449927578372557,,,13.865459882583199,,,72.2084548104956,24.985422740524804,2.8061224489795897,0,100,,36.9066273439396,19.138760732255303,17.2176318863919,0.235011222512864,0.4814275345753571,0.0520537633514989,0.466518702073144,0.533481297926856,0.239605325036205,19.337,27440,245.15099999999998,Riau SMF,D.SIAK,PT. Arara Abadi,BBRD034501,32.1,ACRA,11/29/2018,11/19/2021,MRINV,13,11/19/2021,False,48N,True,188724.0,92522.0,11/20/2021,3.0,1120.0,1120.0,1640.0,18.2,14.8,14.8,11.3,11.3,19.3,6.4,21.8,13.6,16.6,122.6,109.2,36.6
A021T9A,28958,17.617,-0.111,8.50463067200774,5.226797698283679,61.4582560943797,-0.428001390074606,1.8549979674469501,0.027999999999999997,0.184,0.3347,0.502,0.7170000000000001,4.955,6.2711,7.07795,8.0808,8.786,9.639,10.35235,10.952,11.62305,12.3709,12.96075,13.5386,14.142999999999999,14.7053,15.305,15.987,56.9100075972098,77.077146211755,74.863595552179,8.00575,4.45881224706903,3.705,0.485989997292855,0.8656703845460029,0.865613833402504,22.8795413731178,23.1420085647189,25.8150297002348,34.4039231938113,44.77483077773171,56.1887000966984,69.4605608509463,84.4971681171433,98.4321038817516,8.50463067200773,2.94999828212789,-0.333241927449016,-0.0440460390298369,-0.11296343101889599,-0.0149308693827664,0.3468696520635,0.375470207699017,0.18412947388268103,0.632356299409872,0.0015200194188662699,0.7942537468057191,3.12866910698253,18.999930934456803,2.21355065957594,27.2601699012363,47.603425650942704,0.0,0.0,2.68418145173407,2183,35.461338531514,54.021281860925505,2.29630361275992,0.23324211374245601,78.73133335934742,19.541910331384,30.181936322287196,18.4210526315789,31.8551007147498,2,12.2726555772994,0.521078277886497,,,0.0744926191671187,0.0465392558555086,,,11.7515772994129,,,71.7729124939568,26.106775329787997,2.12031217625527,0,100,,30.262316783871004,19.064627183562397,17.835413301995303,0.265556690192495,0.37002089695514395,0.0406186310964196,0.5893604719484361,0.41063952805156395,0.474261080718101,17.617,28958,245.05900000000003,Riau SMF,D.SIAK,PT. Arara Abadi,BBRD034601,25.0,ACRA,11/29/2018,11/20/2021,MRINV,9,11/20/2021,False,48N,True,188189.0,91506.0,11/20/2021,3.0,920.0,920.0,1200.0,18.7,13.7,13.7,11.9,11.9,19.7,6.3,20.8,20.8,13.3,93.9,83.9,28.2
A022T6A,50678,18.134,0.0,8.773539011010701,6.01745888871079,68.5864493354272,-0.407915562763392,1.52021022372512,0.061,0.21600000000000003,0.358,0.489,0.618,0.782,1.6492,7.1039,9.2898,10.257,10.978,11.65835,12.389000000000001,12.96205,13.4819,13.937000000000001,14.39,14.867,15.3033,16.038,16.909229999999997,61.6460791665022,69.76202691503221,67.33099175184499,13.155,5.4282615634798095,3.886,0.48381708453792294,0.8068880847343071,0.8068437770644841,29.7762273799378,31.653221810397802,32.555051235803596,35.008820089984695,38.96101322022479,49.0872693397816,62.3828117257646,81.18248667076291,96.5770122688443,8.77353901101067,3.32820273557596,-0.386043064847726,-0.281999556866324,-0.115991451097981,-0.0847302821585846,0.379345521960878,0.292558806841544,0.14071431347490698,0.7496283801725779,0.00027627307664138,0.44200639330676006,2.6165199889498396,27.1794467027112,2.4310351631871803,10.764039622716,56.566952129129,0.0,0.0,1.97084101427453,2566,37.4107012684065,57.559443696725,2.2979421024072098,0.232091899525841,88.03418249751292,12.2904213442193,27.584195946931,19.6821694124508,40.443213296398895,2,13.460313111545998,0.6047123287671229,,,0.0820723303039749,0.0619239100055591,,,12.8556007827789,,,62.3959114408619,32.2684399542208,5.335648604917321,0,100,,36.221922391104,19.6121925290918,19.086911985109197,0.254760416047603,0.45855462011843706,0.0145017301486908,0.526943649732872,0.473056350267128,0.023533197994454,18.134,50678,245.322,Riau SMF,D.SIAK,PT. Arara Abadi,BBRD034701,25.0,ACRA,11/29/2018,11/20/2021,MRINV,9,11/20/2021,False,48N,True,187732.91,90744.84,11/21/2021,3.0,1400.0,1400.0,1920.0,18.6,15.8,15.8,11.8,11.8,18.8,6.0,19.6,11.3,21.0,163.1,147.0,49.3
A023T16A,44022,16.831,-0.013999999999999999,7.4432670937258605,5.14845343473815,69.1692689501619,-0.19414051366890098,1.67150842251835,0.025,0.141,0.251,0.382,0.535,0.7809999999999999,4.4833,5.8389999999999995,6.582000000000001,7.382999999999999,8.1685,9.009,9.835,10.49465,11.129000000000001,11.779000000000002,12.499,13.275,13.9769,14.73495,15.733579999999998,54.67493525964289,72.2002635046113,68.7747035573123,10.998,4.47067981105412,4.1855,0.44269914477446504,0.8672055912903149,0.867180918528039,27.7283053157656,28.7005906406179,31.347114947751002,41.056338028168994,51.61063153112221,61.9536574284416,74.9977283053158,86.11767378464329,96.97637437528401,7.4432670937258605,2.9286091906135803,-0.118130344529735,-0.126425714973522,-0.0403366706996455,-0.0431691996933991,0.39345749033810495,0.34698272124274104,0.17068581918927497,0.5761614283577989,0.00801202874187752,0.7269092726364091,4.68629321702785,22.386534005724396,3.42555994729908,30.066784789423497,38.7079187678888,0.0,0.0,2.52170654844795,2696,41.489689135118496,67.31585518102371,2.2170466487204,0.22900327478982602,68.73561431215221,15.3739612188366,20.1446598953524,19.3136349646045,45.1677439212065,2,10.920442270058698,0.533984344422699,,,0.0684460371278458,0.0571746011463612,,,10.386457925636,,,49.098178183635504,37.0292126663941,13.8726091499705,0,100,,26.9067200280432,19.505873460668898,18.960072232869102,0.29003058118540004,0.275055694624274,0.0202849409824384,0.704659364393287,0.295340635606713,0.112750772535036,16.831,44022,245.40200000000002,Riau SMF,D.SIAK,PT. Arara Abadi,BBRD035001,24.0,ACRA,12/26/2018,12/14/2021,MRINV,9,12/14/2021,False,48N,True,187856.77,90739.4,12/14/2021,3.0,1360.0,1360.0,1680.0,18.6,14.2,14.2,11.2,11.2,20.0,6.0,22.6,15.2,16.4,119.1,104.8,35.3
A024T3A,181983,19.576,-0.12300000000000001,8.005069973568961,5.3669621665564105,67.04453782761401,-0.20739531924029603,1.79514994795068,0.092,0.214,0.32899999999999996,0.45899999999999996,0.608,0.9359999999999999,5.2860000000000005,6.506,7.398,8.317,8.943,9.634,10.2662,10.946,11.569,12.118,12.8006,13.969000000000001,14.821,15.85,17.23,56.84267211772529,73.3178373804147,71.4033728425183,11.182,4.58913542093638,3.767,0.412613329284175,0.8432381891105101,0.843227034381297,26.6181634346443,27.107774987498697,32.485259450162395,42.0181227710585,55.8014298195965,71.21347833015541,83.5147625301542,94.1493892219517,99.5829234920129,8.00506997356895,3.0471367388227897,-0.133710470725823,-0.0430848694643799,-0.0438806926588664,-0.0141394604697081,0.38065085613040095,0.31410244760836,0.146797212280008,0.770601525738779,0.00037369618608875,0.141221982273069,2.3897836611112,24.1511569762011,1.9144645378963998,29.4972607331454,41.9061121093729,0.0,0.0,2.223842969963,2778,36.6442421844084,67.8553981436248,2.4470970456972,0.23281027213489897,85.1993764350508,23.5588972431078,17.3591874422899,17.2536604669569,41.8282548476454,2,10.501915851272,0.576592954990216,,,0.0705749779095673,0.0540078788350663,,,9.9253228962818,,,55.8898358637895,35.1186649302407,8.99149920596979,0,100,,29.070287843361395,20.5353445520025,11.511736526208901,0.188354582818855,0.293596793308255,0.310406559247548,0.395996647444197,0.604003352555803,0.10159471195477499,19.576,181983,245.55,Riau SMF,D.SIAK,PT. Arara Abadi,BBRD035101,28.0,ACRA,11/29/2018,11/16/2021,MRINV,9,11/16/2021,False,48N,True,188281.85,91504.65,11/22/2021,3.0,1040.0,1040.0,1480.0,18.4,13.9,13.9,12.1,12.1,18.3,6.2,19.7,12.9,16.9,117.5,106.5,35.9
A025T32A,42856,18.416,0.0,9.46867411797648,5.75098556222299,60.736967927797004,-0.5381828665556591,1.8562722184519198,0.07255,0.22,0.354,0.525,0.787,4.2975,6.803,8.63,9.77,10.72675,11.322000000000001,11.904000000000002,12.407,13.012,13.597999999999999,14.106,14.620999999999999,15.193,15.899000000000001,16.612000000000002,17.48745,61.692645137203705,77.03472092589129,74.0503080082135,9.8085,4.9549779725041905,3.57,0.51415476313947,0.870543212906104,0.870515990267231,22.582308142940803,23.8406561218512,26.4557703573521,31.128295254833002,36.874048037492706,47.4704159343878,63.793790275336896,80.9982425307557,94.7182190978325,9.46867411797649,3.20307342741662,-0.484569016055104,-0.0450757112710107,-0.151282518816912,-0.0140726437568325,0.33828109273879403,0.33757856387460405,0.173080790133514,0.547261355835502,0.0049997105646964295,0.420011200298675,2.33806234832929,20.2072055254807,2.9844129176778003,15.3537427664738,58.6965652417398,0.0,0.0,2.30140476077118,2927,42.6738591631433,63.93621668851029,2.29241131925061,0.228707771095755,78.6225523605227,10.5408951742236,24.0705642221898,20.5277737279487,44.86076687563789,2,13.225769080234802,0.606998043052838,,,0.0808077921861866,0.0473233098793776,,,12.618771037182,,,50.5810154937465,35.812955012133706,13.606029494119802,0,100,,33.7296718580816,20.0354096203878,18.866138556450103,0.259752466602924,0.406000458448359,0.0346659483927811,0.55933359315886,0.440666406841141,0.19525910205457697,18.416,42856,245.385,Riau SMF,D.SIAK,PT. Arara Abadi,BBRD035201,23.1,ACRA,11/29/2018,11/12/2021,MRINV,10,11/12/2021,False,48N,True,188955.1,92557.12,11/12/2021,3.0,1760.0,1760.0,2120.0,19.5,14.6,14.6,12.0,12.0,19.8,6.0,21.2,14.8,24.0,176.2,159.7,54.0
A029T18A,34217,19.717,-0.24600000000000002,10.1207027793202,6.4951073921601,64.1764463771395,-0.548703300086108,1.7379510115008998,0.062,0.196,0.31,0.41700000000000004,0.544,0.9540000000000001,7.5258,9.7676,11.0208,11.933,12.556,13.0408,13.6676,14.15,14.679,15.237,15.884,16.54,17.176,17.9532,18.80584,63.7022532659204,73.2589063915597,71.4469415787474,14.283,5.67277543438391,3.659,0.5192958362630979,0.8303875937896129,0.8303600145464781,26.345170246967697,28.040333187198602,28.7973111208534,30.3931024404501,34.876516147888395,43.9222563203273,60.569925471284506,78.6789419845097,93.62268011106241,10.1207027793202,3.5702452344530897,-0.548518931484111,-0.133846682792012,-0.15363620576840697,-0.0374894927385891,0.352766533342748,0.367212156972622,0.14655207970035097,0.7368435357188641,0.00996134720695567,0.379928105912266,2.94005903498261,23.4211064675454,1.81196481281234,7.33261244410673,64.1143291346407,0.0,0.0,2.32932119232516,2585,34.0984039044981,51.2388503468781,2.43443959904655,0.22714281036876197,83.0030701936929,11.845402981137099,32.4495449149189,18.8233742250363,36.881677878907794,2,14.332917808219198,0.5093894324853221,,,0.0798454257686425,0.0543594877169111,,,13.8235283757339,,,67.1332963146974,29.353829967559996,3.5128737177426403,0,100,,42.1925883816306,19.7118642837336,19.2341533101379,0.23705304126059498,0.532812158727014,0.011322153769636,0.45586568750335,0.54413431249665,0.016167815313904,19.717,34217,245.416,Riau SMF,D.MINAS,PT. Arara Abadi,RSKA053101,17.8,ACRA,01/02/2019,01/09/2022,MRINV,3,01/09/2022,False,47N,True,789532.0,91812.0,01/10/2022,3.0,1680.0,1680.0,1760.0,20.7,16.9,16.9,11.6,11.6,19.7,6.4,20.6,12.9,18.6,162.3,147.1,48.7
A030T36A,36178,19.676,-0.131,9.292174581237221,6.5231655033867,70.2006343763525,-0.35742721688766493,1.50646373483285,0.031,0.153,0.263,0.36700000000000005,0.484,0.6609999999999999,1.9709999999999999,7.3129,9.1736,10.512,11.5015,12.389000000000001,13.168,13.863,14.4569,14.936,15.5076,16.059,16.669,17.28,18.261689999999998,59.6550389739621,69.95964398253079,67.0379788821936,14.275,5.8728094525810395,4.5135,0.475749713800031,0.829150925318269,0.829107011039955,29.8623396727112,31.9935869084476,33.4033613445378,35.752985404688204,42.041685095090706,51.4401813356922,64.0065236620964,81.7862671384343,97.11687306501551,9.29217458123721,3.63217472408744,-0.357057106598823,-0.32333036228936896,-0.0983039456309558,-0.0890183944470357,0.390885329621501,0.271278587694513,0.133625389746149,0.6295200049730411,0.0014931770799616099,0.6412737022499859,4.26502294211952,25.1340593730997,2.9216651003372203,10.0143733760849,57.0236055061087,0.0,0.0,2.43020651590504,2600,34.2962669832476,53.5089524593538,2.4380533137311,0.22219651346430896,82.10855536610791,13.190871916633698,29.798179659675498,18.3485028360375,38.662445587653295,2,14.6587025440313,0.529174168297456,,,0.074205163232895,0.0613543713887854,,,14.1295283757339,,,63.6049532865277,31.809386920227798,4.58565979324451,0,100,,42.9622847932075,20.074120921212803,18.7473985196388,0.22923118697175196,0.5327501547499961,0.0308810950804869,0.43636875016951704,0.5636312498304828,0.13003246851049,19.676,36178,245.394,Riau SMF,D.MINAS,PT. Arara Abadi,RSKA053101,17.8,ACRA,01/02/2019,01/09/2022,MRINV,7,01/09/2022,False,47N,True,789541.0,91949.0,01/10/2022,3.0,1800.0,1800.0,1840.0,21.3,16.3,16.3,10.6,10.6,16.2,6.0,16.5,9.0,16.1,141.4,124.7,41.3
A031T20A,31616,19.51,-0.055,9.59848076923077,6.3595090119303395,66.2553706657059,-0.494286028188063,1.60844171133776,0.07215,0.22,0.342,0.45899999999999996,0.596,0.84975,3.255,8.8735,10.113999999999999,11.29475,12.1665,12.80925,13.402999999999999,13.925,14.404000000000002,14.902999999999999,15.357999999999999,15.814,16.319000000000003,17.045,17.9717,62.155237854251006,71.4195344129555,69.331983805668,14.05325,5.658734653583389,3.5795,0.49340561048968895,0.8116085116502759,0.811555980868706,28.462073764787803,30.2777250585184,31.065350793951996,32.6216233314354,38.4228506357943,47.0962231922566,62.0990700322642,82.6595811982033,97.5801859935472,9.59848076923077,3.49736826149322,-0.5068182151418911,-0.23850502315167396,-0.14491416895443102,-0.0681955703028664,0.364366856128368,0.299706217798998,0.139160746995522,0.7759589066257421,0.00126558252656932,0.389043522267206,2.39435728744939,25.7970647773279,2.08755060728745,8.84046052631579,60.49152327935221,0.0,0.0,2.29211301468446,2300,32.0245057087162,48.7908358082308,2.4411981770109903,0.229206821396834,91.0742148736092,15.357839042049598,33.6118072960178,17.947646895015303,33.0827067669173,2,14.3912133072407,0.554500978473581,,,0.0829889456991307,0.0582708637879075,,,13.8367123287671,,,68.05098684210529,28.798709514170003,3.1503036437247003,0,100,,40.4918376883577,19.8005712900613,18.563033897394398,0.235405866994224,0.510998452516409,0.0305626383813828,0.45843890910220797,0.541561090897792,0.0272107255309942,19.51,31616,245.21099999999998,Riau SMF,D.MINAS,PT. Arara Abadi,RSKA053101,17.8,ACRA,01/02/2019,01/09/2022,MRINV,4,01/09/2022,False,47N,True,789682.0,91810.0,01/10/2022,3.0,1480.0,1480.0,1600.0,21.7,16.7,16.7,11.5,11.5,17.7,6.3,18.2,12.2,16.6,145.5,130.8,43.3
A032T37A,31778,19.273,-0.10400000000000001,9.22363317389389,5.72724164864743,62.09312036451671,-0.5765437118268121,1.7523418460478402,0.08177000000000001,0.23199999999999998,0.359,0.491,0.718,2.1155,6.0121,8.636000000000001,9.8598,10.942,11.6445,12.097999999999999,12.5412,13.043,13.464,13.85575,14.213,14.609000000000002,15.133,15.794,16.933,62.75725344578011,75.16206180376359,71.6187299389515,11.74025,5.03986308849104,2.9785,0.48137653784868106,0.824889652960241,0.824819587323588,24.5814451158107,27.017245720040304,29.2296072507553,32.2916666666667,38.7808408862034,48.933157099697894,69.93957703927491,92.0191339375629,99.5027693856999,9.22363317389391,3.14599584078681,-0.55187172701752,-0.11861903292535199,-0.17542036129313401,-0.0377047647004153,0.341079895684824,0.36499412420688204,0.154755326193323,0.7759250119057339,0.00025176233668689,0.42167537289949,2.01711876140726,22.399144061929604,3.5433318648121297,12.083831581597302,59.5348983573542,0.0,0.0,2.05685891971435,2295,31.786703601107998,50.97734340293199,2.37048670990463,0.236776973029867,87.4587480389092,15.207756232686998,30.5678670360111,17.409972299169,36.814404432133,2,13.2379863013699,0.6503444227005861,,,0.0911995060432897,0.0519049687393067,,,12.5876418786693,,,70.53622002643341,26.6316319466297,2.83214802693687,0,100,,33.0848953923073,20.7477499142422,18.810811498251,0.258947086573775,0.372893591827214,0.0585444926763039,0.568561915496482,0.43143808450351795,0.10412880460067699,19.273,31778,245.34099999999998,Riau SMF,D.MINAS,PT. Arara Abadi,RSKA053101,17.8,ACRA,01/02/2019,01/09/2022,MRINV,5,01/09/2022,False,47N,True,789830.0,91816.0,01/10/2022,3.0,1600.0,1600.0,1680.0,19.8,15.8,15.8,9.9,9.9,15.0,6.0,16.0,6.9,12.9,107.7,91.3,30.2
